A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
0,17,9,2,6,4,1,1,0,0,1,2,0,1,True
1,20,1,2,11,4,1,0,0,0,0,2,108,8,False
1,31,16,2,2,4,3,1,1,9,0,2,250,731,True
0,57,2,2,1,1,6,0,1,1,0,2,0,11,False
1,59,1,2,11,4,0,1,0,0,1,2,260,1,True
0,65,14,2,1,1,0,1,1,11,1,2,0,1401,True
1,30,1,1,3,5,0,1,1,10,1,2,132,29,False
1,48,6,2,11,8,6,1,0,0,1,2,350,1,True
0,23,11,1,4,8,3,0,0,0,1,2,20,17,False
1,20,9,2,8,4,1,1,1,3,1,2,40,29,True
1,48,7,2,9,8,15,1,1,12,0,2,0,791,True
1,23,1,2,11,4,2,1,1,3,1,2,0,583,True
1,32,14,1,1,1,0,0,1,2,0,2,160,2,False
1,33,0,1,13,4,0,0,0,0,0,2,180,1,False
1,23,0,1,9,4,2,1,1,6,1,2,208,348,False
1,16,0,1,4,4,0,0,0,0,0,1,200,1,False
0,20,8,2,8,4,0,0,0,0,0,2,0,352,False
0,60,16,2,11,4,11,1,0,0,1,2,21,10562,True
1,31,5,1,6,4,8,1,0,0,0,2,0,1,False
0,25,12,2,13,8,3,1,1,6,0,2,400,459,True
1,21,9,2,8,4,0,1,0,0,0,2,140,1,False
1,20,0,2,8,4,0,0,0,0,0,3,184,1,False
0,25,13,1,1,1,2,0,1,1,1,2,200,2,False
1,42,4,2,11,4,4,1,0,0,0,1,0,1,True
1,26,1,1,8,4,1,1,1,5,1,2,160,5778,True
1,57,7,2,7,4,14,1,1,6,1,2,360,1333,True
1,55,11,2,1,1,5,1,1,5,0,2,0,8852,True
1,51,10,2,3,5,0,1,1,11,0,2,0,1250,True
1,39,0,2,7,4,0,1,0,0,0,1,288,1,False
1,27,2,1,6,4,2,1,1,3,1,2,370,561,True
1,30,6,2,13,4,3,1,1,8,0,2,330,1201,True
1,51,2,1,1,1,1,0,0,0,0,2,120,2,False
0,25,11,1,6,4,4,1,0,0,0,2,120,1,False
1,29,0,1,8,4,0,0,0,0,0,2,240,1,False
0,33,0,2,13,4,0,0,0,0,0,2,300,45,True
1,25,0,2,8,5,0,1,0,0,0,2,349,24,True
0,28,1,2,8,4,2,1,1,5,1,2,300,1431,True
0,18,0,3,13,1,10,0,0,0,1,1,300,1,True
1,20,7,2,8,4,1,1,1,3,0,2,200,1392,True
1,17,22,3,1,7,0,0,0,0,1,3,450,100001,True
1,18,6,1,7,4,0,0,0,0,0,2,140,1,False
1,47,2,2,7,5,2,1,1,12,1,2,410,2511,True
1,57,8,2,10,8,7,1,1,3,0,2,0,1,True
1,13,4,1,9,4,1,1,1,2,1,2,120,1001,True
1,19,9,2,11,4,1,1,0,0,1,2,60,401,True
0,21,11,2,4,8,0,0,0,0,0,2,320,6,False
1,17,10,2,9,8,0,0,1,1,0,2,120,2,False
1,34,2,1,9,4,3,0,0,0,0,1,200,1,False
1,29,3,2,9,4,3,1,1,3,1,2,329,1,False
1,21,0,1,12,7,0,0,0,0,1,2,132,3,False
1,18,10,2,8,8,1,0,0,0,0,2,320,14,False
1,28,3,2,9,4,0,0,0,0,1,2,300,68,False
0,45,10,2,11,4,5,1,1,7,1,2,0,1,True
1,22,11,2,3,4,0,0,0,0,0,2,0,1,False
0,31,3,2,2,4,3,1,0,0,1,2,300,1,False
0,20,7,2,4,4,1,1,1,1,0,2,160,235,True
0,21,2,2,3,5,0,1,1,4,0,1,80,1,True
1,26,4,2,13,4,4,1,1,1,1,2,120,1,True
0,27,1,2,1,1,0,0,0,0,0,2,340,2,False
1,42,1,2,9,4,5,1,1,6,1,2,500,10001,True
0,18,10,2,9,4,1,0,1,1,0,2,120,2,False
0,28,1,2,11,4,1,1,1,2,1,2,167,501,False
0,21,6,2,6,4,2,1,1,3,0,2,80,919,True
1,21,11,2,14,4,0,1,1,6,0,2,121,1,True
1,21,0,2,8,4,0,0,0,0,0,2,360,1,False
1,32,9,1,9,8,5,1,0,0,1,2,154,1,True
0,45,1,2,11,4,0,0,0,0,1,2,263,1,False
0,23,0,1,1,1,0,0,0,0,0,2,120,88,False
0,17,0,2,8,4,1,0,1,1,1,2,80,6,False
1,33,2,1,9,4,7,0,0,0,1,2,280,1,False
0,22,0,2,11,4,0,0,0,0,0,1,160,1,False
1,34,1,2,7,4,1,0,0,0,0,1,28,1,False
1,29,1,2,9,8,0,1,1,1,0,2,240,101,True
1,31,2,2,6,4,7,1,0,0,1,2,523,1,False
0,20,1,2,11,4,2,1,1,5,0,2,220,2504,True
1,33,2,2,3,5,0,0,0,0,0,2,180,1,False
1,22,0,2,8,8,2,0,0,0,1,2,128,1,True
0,35,12,2,11,8,14,1,1,8,0,2,0,6591,True
1,31,4,2,13,8,6,1,1,3,0,2,311,301,True
0,22,0,2,3,4,0,0,0,0,0,2,144,1,False
1,26,14,2,3,5,0,0,0,0,1,2,178,1,False
1,44,2,2,7,4,1,1,1,2,1,2,0,16,True
1,30,1,1,8,4,0,0,0,0,0,2,170,180,False
1,37,7,2,11,8,11,1,1,7,1,2,300,6,False
1,17,0,1,8,4,0,0,0,0,0,2,140,723,False
1,49,2,2,1,1,0,0,0,0,0,2,200,4,False
1,22,0,2,7,4,0,0,0,0,0,1,0,1,False
0,34,1,1,3,8,0,0,0,0,1,2,160,1,False
1,44,11,1,2,4,1,1,0,0,0,1,0,1,False
1,59,2,2,9,4,1,1,1,5,1,2,60,59,True
1,25,0,2,7,4,0,1,1,3,0,2,260,15109,True
0,41,1,2,6,4,0,0,0,0,0,2,240,238,False
1,49,19,2,1,1,0,1,1,1,0,2,94,1,False
0,33,1,1,1,1,0,1,0,0,0,2,320,1,False
1,19,4,1,3,4,1,0,0,0,1,2,360,1001,False
0,24,2,1,8,4,0,0,0,0,0,2,120,1,False
1,23,1,2,8,8,1,1,0,0,0,2,422,201,True
1,69,9,2,1,1,4,0,1,1,0,2,70,7,False
1,47,0,2,8,5,15,1,1,20,0,2,0,15001,True
0,33,2,1,8,4,2,0,0,0,1,2,0,3,False
1,43,3,2,11,8,6,1,1,11,0,2,80,1,True
1,23,0,1,6,4,0,1,0,0,0,2,180,2,False
1,34,2,2,13,5,0,0,0,0,0,2,348,1,False
1,56,18,2,2,5,15,1,1,17,1,2,0,1,True
0,44,6,2,11,4,7,1,1,3,1,2,0,1,True
0,44,0,2,8,4,2,1,0,0,0,2,0,1,True
1,34,1,2,9,5,0,1,0,0,1,2,163,1,False
0,45,4,2,4,8,1,0,0,0,1,1,240,1,False
1,30,2,1,7,4,0,0,0,0,1,1,80,1,False
1,27,0,2,11,8,0,0,0,0,1,2,220,252,False
1,19,7,2,7,4,0,0,1,1,0,2,100,2,False
0,41,1,2,3,5,2,1,0,0,1,2,0,301,True
0,23,1,2,9,4,0,0,0,0,1,2,160,1,False
1,31,0,2,14,4,1,1,1,8,1,2,303,3291,True
0,17,11,2,14,8,1,1,1,11,0,2,0,3001,True
0,33,2,1,13,4,3,0,0,0,1,2,200,142,False
0,52,7,2,6,8,3,0,0,0,0,2,0,1,False
0,25,1,2,11,4,1,1,1,2,0,2,200,1,False
1,40,1,2,3,5,0,0,0,0,0,1,300,1,False
1,23,0,1,13,8,0,0,0,0,0,2,240,2,False
1,56,12,2,4,8,8,1,0,0,1,2,24,2029,True
0,28,3,1,14,8,2,1,1,1,0,2,70,1,True
1,32,4,2,7,4,2,1,0,0,1,2,360,1,True
1,21,0,1,8,8,0,0,0,0,0,2,280,205,False
1,34,9,2,8,4,4,1,1,12,1,2,0,222,True
1,43,25,2,11,8,0,1,1,1,0,2,760,91,False
0,38,6,2,4,4,1,1,0,0,1,2,0,1,True
1,37,2,2,9,4,0,1,0,0,1,2,400,5801,True
1,29,2,1,14,8,0,0,0,0,0,2,128,2,False
1,37,2,2,13,4,0,0,0,0,1,2,0,502,False
1,31,19,2,8,4,7,1,1,16,0,2,0,5001,True
1,36,2,2,1,1,0,0,0,0,0,2,0,1001,False
1,20,2,2,8,4,2,1,1,11,1,2,200,3001,True
1,47,5,2,9,4,5,0,0,0,0,2,465,151,False
1,22,7,1,3,5,0,0,0,0,1,2,184,1,False
1,20,10,1,8,4,2,1,0,0,0,1,40,1,True
1,34,2,2,9,4,0,1,0,0,1,2,239,201,True
1,24,0,2,7,4,0,0,1,4,0,2,254,1951,False
1,37,6,2,7,8,4,1,1,12,1,2,93,1,True
0,20,9,2,3,4,0,0,0,0,0,2,200,1001,False
1,36,3,2,11,8,9,1,0,0,1,2,102,640,True
1,22,10,2,14,4,0,1,1,9,0,2,60,397,True
0,26,13,2,11,8,5,1,1,2,0,2,0,5001,True
0,46,0,2,13,8,0,1,1,11,1,2,440,7,True
0,52,0,1,1,1,0,0,0,0,0,2,0,1,False
1,39,2,1,3,8,10,0,0,0,1,1,200,1,False
1,39,1,2,8,4,1,1,1,10,0,2,186,4701,True
0,27,2,2,9,4,0,0,0,0,1,2,180,51,False
1,19,9,2,9,4,1,1,0,0,0,2,120,2207,True
1,39,4,2,8,5,6,1,1,16,0,2,117,1211,True
1,36,0,1,2,4,0,0,0,0,0,2,240,4,False
1,26,0,2,3,5,0,1,0,0,1,2,0,1,True
1,39,1,1,7,4,0,0,0,0,0,1,400,1,False
1,41,0,2,8,8,0,1,1,6,0,2,220,949,True
1,21,7,2,6,4,1,1,1,1,0,2,80,9801,True
0,20,1,2,8,4,0,0,0,0,0,2,0,1,False
0,27,3,2,7,4,2,0,1,1,1,2,280,11,False
1,21,0,1,13,4,0,0,0,0,0,2,160,1,False
1,28,5,2,14,4,4,1,1,2,0,2,420,8,True
1,26,2,2,3,5,0,0,0,0,1,2,640,4001,False
0,18,9,2,11,4,1,1,1,4,0,2,60,541,True
0,23,5,2,11,4,3,1,1,10,0,2,120,246,True
1,23,1,2,8,4,0,0,0,0,1,2,136,2,False
1,28,5,2,9,4,11,1,0,0,1,2,70,1,True
1,25,2,1,6,4,4,1,0,0,0,2,188,1,False
0,28,1,2,11,4,2,1,0,0,1,2,440,1,False
1,22,3,1,8,4,0,0,0,0,0,2,160,1059,False
0,24,1,1,1,1,0,1,1,3,0,2,180,148,False
1,24,0,2,7,4,1,0,0,0,1,2,120,2,False
1,32,1,1,10,8,0,1,0,0,1,2,393,1,True
1,48,3,2,3,5,1,0,0,0,0,2,100,3,False
0,28,3,2,9,4,0,1,0,0,0,1,280,1,True
1,25,0,2,9,4,0,0,1,1,0,2,272,445,False
1,18,10,2,1,1,0,0,0,0,0,2,80,1,False
1,21,1,1,4,4,2,1,1,1,0,2,180,21,False
1,24,1,2,8,4,0,0,0,0,0,2,110,1,False
1,16,4,2,3,8,0,0,0,0,1,2,120,1,False
1,26,2,2,2,4,0,0,0,0,1,2,80,1,False
1,48,3,2,6,4,3,1,0,0,0,1,230,1,True
1,23,2,2,1,1,4,0,0,0,0,2,160,26,False
0,41,2,1,11,8,0,1,1,23,1,2,455,1237,True
1,35,25,2,14,8,1,1,1,1,1,2,515,501,True
1,23,12,2,8,4,2,0,0,0,0,1,80,1,False
1,18,5,2,11,4,0,1,1,2,0,2,0,39,False
1,30,0,2,2,8,0,0,0,0,1,1,252,1,False
0,19,0,2,8,4,0,1,1,5,1,2,140,6,False
1,26,0,2,13,4,1,0,0,0,0,2,100,1,False
1,28,1,1,8,4,1,1,0,0,1,2,0,226,False
1,28,9,2,11,8,5,1,1,6,0,2,381,169,True
1,26,1,2,11,4,1,1,0,0,1,2,280,1,True
1,23,3,1,4,4,0,0,1,1,1,2,280,81,False
1,26,13,2,10,2,0,0,0,0,1,2,140,1111,False
1,54,6,2,8,8,2,1,1,11,1,2,0,285,True
1,31,0,2,2,4,0,1,0,0,1,1,928,1,False
0,25,12,2,2,4,1,0,0,0,1,2,180,1063,False
1,33,3,1,14,4,3,1,1,3,1,2,380,1,True
1,39,1,2,8,4,1,0,0,0,0,2,0,317,False
0,17,0,1,5,1,0,0,0,0,0,2,86,1,False
1,23,0,2,8,4,0,0,0,0,0,2,100,1,True
1,26,2,1,13,4,5,1,1,1,0,2,211,1,True
0,22,0,2,3,4,0,0,0,0,1,1,144,1,False
1,39,0,1,6,4,0,1,1,3,0,2,200,1001,True
0,26,8,2,6,4,1,1,0,0,0,2,160,151,True
1,20,0,2,2,4,0,0,0,0,0,2,144,1,False
1,31,4,1,3,4,0,0,0,0,1,2,411,1,False
1,26,4,1,8,5,2,0,0,0,0,2,200,1211,False
0,24,1,2,1,1,0,1,0,0,0,2,80,1,False
0,32,1,2,8,4,0,0,0,0,1,2,372,123,False
1,17,4,2,8,4,0,0,0,0,0,1,80,1,False
0,37,5,2,11,4,0,1,0,0,1,2,228,1,True
1,22,2,1,8,8,2,1,0,0,0,2,0,1,True
0,17,10,2,1,1,0,0,0,0,0,2,0,51,False
1,24,12,2,11,8,1,1,0,0,1,2,120,1,True
0,25,0,2,8,8,0,1,0,0,1,2,491,1,True
1,26,12,1,4,8,1,0,0,0,1,2,0,18,False
0,22,6,2,6,4,0,0,0,0,0,2,220,1001,False
1,23,0,2,7,4,0,1,0,0,1,1,320,1,False
1,25,0,1,8,4,1,0,0,0,1,2,160,1,False
1,48,0,1,4,4,0,1,1,11,0,2,380,2733,True
1,21,0,2,8,4,0,0,0,0,1,1,0,1,False
1,35,16,1,8,4,4,1,0,0,0,2,80,1,False
0,22,11,2,13,4,0,1,0,0,0,2,80,1350,True
0,48,1,2,3,7,0,0,0,0,0,2,0,121,False
1,43,0,1,13,8,1,1,1,8,0,2,100,376,True
1,31,10,2,14,4,6,1,0,0,0,2,0,1,True
1,20,0,2,8,4,0,0,0,0,0,2,0,45,False
0,18,9,2,6,4,0,1,0,0,0,2,100,1,True
0,27,14,2,14,8,3,1,1,1,0,2,120,12,True
1,41,0,2,10,4,0,0,1,1,0,1,560,1,True
